"Date","Open","High","Low","Close","Volume"
"08/04/2021","711","724.9","708.93","710.92","17,002,650"
"08/03/2021","719","722.65","701.01","709.74","21,620,250"
"08/02/2021","700","726.94","698.4","709.67","33,615,770"
"07/30/2021","671.758","697.53","669","687.2","29,656,410"
"07/29/2021","649.79","683.69","648.8","677.35","30,394,640"
"07/28/2021","646.995","654.9699","639.4001","646.98","16,006,600"
"07/27/2021","663.4","666.5","627.24","644.78","32,813,290"
"07/26/2021","650.97","668.1999","647.11","657.62","25,336,560"
"07/23/2021","646.36","648.8","637.3001","643.38","14,604,940"
"07/22/2021","656.4428","662.17","644.6001","649.26","15,105,730"
"07/21/2021","659.61","664.8599","650.2901","655.29","13,953,340"
"07/20/2021","651.99","662.3916","640.501","660.5","15,487,130"
"07/19/2021","629.89","647.1999","621.29","646.22","21,297,090"
"07/16/2021","654.68","656.6999","642.2","644.22","16,370,970"
"07/15/2021","658.39","666.14","637.88","650.6","20,209,570"
"07/14/2021","670.75","678.6099","652.84","653.38","21,641,190"
"07/13/2021","686.32","693.28","666.2958","668.54","20,966,090"
"07/12/2021","662.2","687.24","662.161","685.7","25,927,040"
"07/09/2021","653.185","658.91","644.69","656.95","18,140,550"
"07/08/2021","628.37","654.43","620.46","652.81","22,773,320"
"07/07/2021","664.27","665.7","638.32","644.65","18,791,960"
"07/06/2021","681.7115","684","651.4002","659.58","23,284,450"
"07/02/2021","678.98","700","673.26","678.9","27,097,370"
"07/01/2021","683.92","687.99","672.8","677.92","18,634,520"
"06/30/2021","679.77","692.81","678.14","679.7","18,924,860"
"06/29/2021","684.65","687.5099","675.89","680.76","17,381,310"
"06/28/2021","671.64","694.6999","670.32","688.72","21,628,160"
"06/25/2021","689.58","693.81","668.7","671.87","32,496,710"
"06/24/2021","674.99","697.62","667.61","679.82","45,982,390"
"06/23/2021","632","657.204","630.04","656.57","31,099,230"
"06/22/2021","618.25","628.5693","615.5","623.71","19,158,890"
"06/21/2021","624.48","631.39","608.88","620.83","24,812,740"
"06/18/2021","613.37","628.35","611.8","623.31","24,560,910"
"06/17/2021","601.888","621.47","601.34","616.6","22,701,350"
"06/16/2021","597.535","608.5","593.5","604.87","22,144,130"
"06/15/2021","616.69","616.79","598.23","599.36","17,764,150"
"06/14/2021","612.23","625.49","609.18","617.69","20,423,980"
"06/11/2021","610.23","612.56","601.52","609.89","16,205,300"
"06/10/2021","603.88","616.59","600.5","610.12","23,919,610"
"06/09/2021","602.17","611.79","597.6301","598.78","16,584,570"
"06/08/2021","623.01","623.09","595.5","603.59","26,053,410"
"06/07/2021","591.825","610","582.88","605.13","22,543,680"
"06/04/2021","579.71","600.61","577.2","599.05","24,036,900"
